Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Alabama","Alabama","131170787086","4596557532","040","00","3","6","01","01",4779736,4779736,94.37665,50645.3262825928,52420.07,50645.33,1774.741,4779736,2320188,2459548,4779736,304957,308229,319655,199618,479175,608922,619501,693854,588033,370501,211607,75684,37.9,36.4,39.1,4779736,3275394,1251311,28218,53595,3057,96910,71251,4779736,4594134,3204402,1244437,25907,52937,1976,4030,60445,185602,70992,6874,2311,658,1081,92880,10806,1883791,1276440,902556,373884,86147,287737,607351,516696,90655,4779736,4663920,3938971,1276440,902556,1345625,149702,49005,36381,91386,87876,724949,516696,90655,117598,115816,67004,48812,2171853,1883791,1312589,571202,2171853,1883791,288062,288062,83026,109258,95778
"Alaska","Alaska","1477953211577","245383480336","040","00","4","9","02","02",710231,710231,1.24462,570640.941941044,665384.1,570640.9,94743.09,710231,369628,340603,710231,53996,50887,50816,31679,74881,103125,92974,111026,85909,35350,14877,4711,33.8,33.6,34.1,710231,473576,23263,104871,38135,7409,11102,51875,710231,670982,455320,21949,102556,37459,7219,1111,45368,39249,18256,1314,2315,676,190,9991,6507,258058,170750,127558,43192,15455,27737,87308,66073,21235,710231,683879,569377,170750,127558,211837,14233,6316,4815,12353,21515,114502,66073,21235,27194,26352,6458,19894,306967,258058,162765,95293,306967,258058,48909,48909,7396,32145,9368
"Arizona","Arizona","294207314414","1026196264","040","00","4","8","04","04",6392017,6392017,56.27068,113594.087756391,113990.3,113594.1,396.2166,6392017,3175823,3216194,6392017,455715,453680,448664,270955,633211,856693,822494,842546,726228,497892,280539,103400,35.9,34.8,37.2,6392017,4667121,259008,296529,176695,12648,761716,218300,6392017,4496868,3695647,239101,257426,170509,10959,8595,114631,1895149,971474,19907,39103,6186,1689,753121,103669,2380990,1576520,1146036,430484,134171,296313,804470,621008,183462,6392017,6252633,5210977,1576520,1146036,1845458,170733,75772,66293,152098,178067,1041656,621008,183462,237186,139384,84788,54596,2844526,2380990,1571687,809303,2844526,2380990,463536,463536,125939,259822,77775
"Arkansas","Arkansas","134771261408","2960539257","040","00","3","7","05","05",2915918,2915918,56.03711,52035.477168234,53178.55,52035.48,1143.071,2915918,1431637,1484281,2915918,197689,196877,197559,119350,284105,375892,366208,407266,350991,234602,133977,51402,37.4,36.1,38.7,2915918,2245229,449895,22248,36102,5863,99571,57010,2915918,2729868,2173469,447102,20183,35647,5509,2121,45837,186050,71760,2793,2065,455,354,97450,11173,1147084,775811,568277,207534,54211,153323,371273,310792,60481,2915918,2836987,2388682,775811,568277,805163,79222,25941,21342,51053,61873,448305,310792,60481,77032,78931,47287,31644,1316299,1147084,768156,378928,1316299,1147084,169215,169215,48582,61993,58640
"California","California","403466310059","20501110720","040","00","4","9","06","06",37253956,37253956,239.1459,155779.224428839,163694.8,155779.2,7915.523,37253956,18517830,18736126,37253956,2531333,2505839,2590930,1666938,3922951,5317877,5182710,5252371,4036493,2275336,1370210,600968,35.2,34,36.3,37253956,21453934,2299072,362801,4861007,144386,6317372,1815384,37253956,23240237,14956253,2163804,162250,4775070,128577,85587,968696,14013719,6497681,135268,200551,85937,15809,6231785,846688,12577498,8642473,6213310,2429163,752347,1676816,3935025,2929442,1005583,37253956,36434140,31073578,8642473,6213310,11308643,998074,629655,573194,1410674,1297555,5360562,2929442,1005583,1425537,819816,397142,422674,13680081,12577498,7035371,5542127,13680081,12577498,1102583,1102583,394957,493978,213648
"Colorado","Colorado","268431246426","1170101258","040","00","4","8","08","08",5029196,5029196,48.52474,103641.887650445,104093.7,103641.9,451.7786,5029196,2520662,2508534,5029196,343960,348603,332654,200392,487698,726278,699644,742698,597644,309960,170052,69613,36.1,35.1,37.1,5029196,4089202,201737,56010,139028,6623,364140,172456,5029196,3990509,3520793,188778,31244,135564,5661,7622,100847,1038687,568409,12959,24766,3464,962,356518,71609,1972868,1261527,971397,290130,91299,198831,711341,550794,160547,5029196,4913318,3994194,1261527,971397,1398288,88057,45279,36842,85310,107494,919124,550794,160547,207783,115878,61591,54287,2212898,1972868,1293100,679768,2212898,1972868,240030,240030,60702,140580,38748
"Connecticut","Connecticut","12541641427","1815734898","040","00","1","1","09","09",3574097,3574097,738.0906,4842.35514913583,5543.415,4842.355,701.0592,3574097,1739614,1834483,3574097,202106,222571,240265,152073,326659,420377,484438,575597,443452,254944,166717,84898,40,38.5,41.3,3574097,2772410,362296,11256,135565,1428,198466,92676,3574097,3095010,2546262,335119,6885,134091,958,12190,59505,479087,226148,27177,4371,1474,470,186276,33171,1371087,908661,672013,236648,59675,176973,462426,373648,88778,3574097,3455945,2880313,908661,672013,1031514,57286,33431,36312,63313,77783,575632,373648,88778,113206,118152,49370,68782,1487891,1371087,925286,445801,1487891,1371087,116804,116804,41964,48966,25874
"Delaware","Delaware","5046703785","1399060967","040","00","3","5","10","10",897934,897934,460.8232,1948.54324267139,2488.724,1948.543,540.1805,897934,434939,462995,897934,55886,56486,56848,36545,90905,111417,116087,133554,110929,72453,41080,15744,38.8,37.4,40.1,897934,618617,191814,4181,28549,400,30519,23854,897934,824713,586752,186782,2824,28308,238,1525,18284,73221,31865,5032,1357,241,162,28994,5570,342297,230731,165280,65451,16989,48462,111566,87496,24070,897934,873521,729285,230731,165280,249045,23702,9032,8467,18635,24393,144236,87496,24070,32670,24413,11673,12740,405885,342297,246724,95573,405885,342297,63588,63588,12075,42978,8535
"District of Columbia","District of Columbia","158114680","18884970","040","00","3","5","11","11",601723,601723,9856.487,61.0484249347873,68.33995,61.04842,7.291528,601723,284222,317501,601723,32613,26147,25041,17014,87015,124745,80659,75703,63977,36969,21525,10315,33.8,33.6,34,601723,231471,305125,2079,21056,302,24374,17316,601723,546974,209464,301053,1322,20818,216,1451,12650,54749,22007,4072,757,238,86,22923,4666,266707,112715,58659,54056,10376,43680,153992,117431,36561,601723,561702,355196,112715,58659,121429,18123,9550,4644,14274,15802,206506,117431,36561,52514,40021,7339,32682,296719,266707,112055,154652,296719,266707,30012,30012,14319,8482,7211
"Florida","Florida","138887481596","31424168203","040","00","3","5","12","12",18801310,18801310,350.6088,53624.7578351714,65757.7,53624.76,12132.94,18801310,9189355,9611955,18801310,1073506,1080255,1130847,717483,1739657,2289545,2431254,2741493,2337668,1727940,1097537,434125,40.7,39.4,42.1,18801310,14109162,2999862,71458,454821,12286,681144,472577,18801310,14577504,10884722,2851100,47265,445216,9725,48462,291014,4223806,3224440,148762,24193,9605,2561,632682,181563,7420802,4835475,3457149,1378326,373284,1005042,2585327,2021781,563546,18801310,18379601,15065613,4835475,3457149,4884582,437908,219488,237257,467890,525864,3313988,2021781,563546,728661,421709,254506,167203,8989580,7420802,4998979,2421823,8989580,7420802,1568778,1568778,387064,888754,292960
