,,2013,,,,2014,,
Jurisdiction,,Total,Male,Female,,Total,Male,Female
,U.S. total/a,1520403,1416102,104301,,1508636,1402404,106232
Federal/b,,195098,182378,12720,,191374,178814,12560
State/a,,1325305,1233724,91581,,1317262,1223590,93672
,Alabama/c,31354,28787,2567,,30766,28324,2442
,"Alaska/d,e,f",2682,2426,256,,2754,2491,263
,Arizona/c,39062,35675,3387,,40175,36625,3550
,Arkansas,17159,15840,1319,,17819,16426,1393
,California,135981,129684,6297,,136088,129706,6382
,Colorado,20371,18556,1815,,20646,18738,1908
,"Connecticut/f,g",12162,11494,668,,11735,11098,637
,Delaware/f,4112,3879,233,,4141,3927,214
,Florida,103028,95757,7271,,102870,95567,7303
,Georgia,53478,49953,3525,,52485,49010,3475
,Hawaii/f,3618,3271,347,,3663,3354,309
,Idaho/c,8242,7176,1066,,8039,7013,1026
,Illinois,48653,45737,2916,,48278,45390,2888
,Indiana,29905,27070,2835,,29261,26386,2875
,Iowa,8654,7951,703,,8798,8058,740
,"Kansas/c,g",9506,8815,691,,9365,8644,721
,Kentucky,20330,18147,2183,,20969,18549,2420
,Louisiana,39298,37070,2228,,38022,35947,2075
,Maine,1972,1836,136,,2030,1888,142
,Maryland,20988,20101,887,,20733,19843,890
,Massachusetts,9643,9200,443,,9486,9060,426
,Michigan,43704,41645,2059,,43359,41236,2123
,Minnesota,10289,9566,723,,10637,9901,736
,Mississippi,20742,19337,1405,,17876,16679,1197
,Missouri,31537,28755,2782,,31938,28832,3106
,Montana,3642,3230,412,,3699,3311,388
,Nebraska,4929,4569,360,,5347,4919,428
,Nevada/h,/,/,/,,12415,11330,1085
,New Hampshire,2848,2636,212,,2915,2671,244
,New Jersey,22452,21427,1025,,21590,20571,1019
,New Mexico,6687,6047,640,,6860,6201,659
,New York,53428,51091,2337,,52399,50091,2308
,North Carolina,35181,32942,2239,,35769,33325,2444
,North Dakota/c,1507,1358,149,,1603,1416,187
,Ohio,51729,47579,4150,,51519,47311,4208
,Oklahoma,27173,24431,2742,,27261,24460,2801
,Oregon,15180,13895,1285,,15060,13784,1276
,Pennsylvania/c,51211,48556,2655,,50423,47730,2693
,Rhode Island/f,2039,1960,79,,1880,1812,68
,South Carolina,21443,20147,1296,,20830,19545,1285
,South Dakota/c,3672,3231,441,,3605,3197,408
,Tennessee,28521,26069,2452,,28769,26160,2609
,Texas,160295,148294,12001,,158589,145899,12690
,Utah/c,7072,6410,662,,7024,6362,662
,Vermont/f,1575,1479,96,,1508,1403,105
,Virginia,36982,34133,2849,,37544,34529,3015
,Washington,17947,16505,1442,,18052,16613,1439
,West Virginia,6812,6011,801,,6881,6053,828
,Wisconsin/g,21285,20116,1169,,21405,20099,1305
,Wyoming,2310,2050,260,,2383,2106,277
